id, month, coef
64,12,2.0387490942825806
64,6,1.0482665399506286
64,7,2.4273844251664904
64,10,1.4533848748977811
64,2,2.3887804438957025
63,10,1.599019820940963
63,6,0.7153082908856638
63,8,2.8143847864810496
63,7,2.744147561680914
63,4,1.4623312372164308
17,5,1.151535903504421
17,10,0.6276758831415006
17,8,2.5549384878987986
17,11,1.2375130646793338
95,1,0.729798665989239
95,11,0.4255122963945257
95,9,1.1446178753049734
95,3,1.8168626756330961
97,4,1.2747885840604098
97,9,2.769646150171705
97,1,2.0749602637393796
88,8,1.9167289380894577
88,2,2.320199067315894
88,3,1.806974831852321
88,1,0.8733954489335051
11,1,2.4256397165253922
11,12,1.0096107444375118
11,3,2.498685470315773
86,4,1.2777933030275739
86,12,0.8311776642554561
86,9,2.4061858418853665
86,6,2.1151706322901003
7,9,2.1847674261957213
7,11,2.337979245319576
7,10,1.4000768114356863
7,12,0.8145306816491755
7,8,0.5395450115528159
69,12,0.2597180214941607
69,6,2.578812275288183
69,9,2.5930536496449874
69,8,0.2579673544930948
69,1,0.058160821066221335
